,0,1,2
25,"['268ba8083a57dcfd9f7065263104dc447adcfb5a', 0.011391722009184068]","['42ceb0e0fa764fc140f8d68c53f9b0a152836664', 0.038098632563209674]","['8a380471297701c2fa6a7eaa375c0c184a93ff77', 0.02691751117099157]"
26,"['0c0268d5ec6feb5111444bf89b616ff1e13332f8', 0.006663947929951935]","['204a84f722537c0828101b907e91a70fcead02a4', 0.018413108486000477]","['7e19d79f944e913925d8f2607014e5601d7fb220', 0.012894272676231939]"
27,"['2c929edbaafd84070eac5577c3a965bd4d06bdf6', 0.2535215548441942]","['bc378826a427f04696a4319ee7bc389f7add9152', 0.15780952980445523]","['ef9f488840c8424ca865b2ed5d5b47ea41f1219e', 0.04992898947801254]"
28,"['8ea29c06f4aff681dadf2eda55e62e89d72fd543', 0.03135375350555682]","['d6cfcd4273a3adbccf6d689fbaf93d775540b1d6', 0.0010022578023910864]","['e73d69bb4d657896c5382566bffbaccbc5282e31', 0.045513524861141075]"
29,"['516cd5776dde3b094e58c0d348e18a31fd7c60fa', 0.068477876911677]","['584531dfe52364821ab2e010fa3dc3e2120223d5', 0.5551281280661243]","['7d842ab9b5ed5768c25a911e963b06a7e1737974', 0.043942949889267266]"
30,"['4b56b06422dd021a47742b6405cc5bc1a50865aa', 0.4326844614819527]","['626d88682b1040762c32f79229ab2c5c00d92423', 0.4094634411305777]","['b060bce3121b9ae412a3ff4b0c0af4324d644d68', 0.08573971940814265]"
31,"['253f4ce8d1db19fd4f81c36438d97bd5060ba410', 0.0063386367401206435]","['389f4822f946a3833e62ab52fc17ea45ae2c620d', 0.02918455577755036]","['616a8bfa802249469acb150229fa732cc0434a35', 0.003941283253059866]"
32,"['200c4acd9ed67a1aa5470ac0eda2712079a2325b', 0.0008759991516455901]","['b2ffab3c1c5237352fe7f5fc354b50f7c998c244', 0.01597696105094729]","['c291b0485ad4444f6135071e94ce00d959ecbb4e', 0.0017885113407379656]"
33,"['4a8b7ba2d67333999d0e49c08beae64b1e1b91e3', 0.003667062487650735]","['93621401a43fa4e5ff8288b5530803d083e18ef1', 0.011627612494486073]","['c29748c9a2d534c330191dbc4473b28bc4f995f0', 0.010257067526433485]"
34,"['2c929edbaafd84070eac5577c3a965bd4d06bdf6', 0.26711252632209015]","['bc378826a427f04696a4319ee7bc389f7add9152', 0.16715784616819357]","['ef9f488840c8424ca865b2ed5d5b47ea41f1219e', 0.06783566059893224]"
35,"['30ecdab2cd98d021b76a9e6fbb09b0e7857ca5b8', 0.028897043503196128]","['dd9a9ef14c74af0ce0206728bcf639220ae91020', 0.01645022536204046]","['fba6e714e935d54176127dfe8c834432b436094e', 0.0029023481820751747]"
36,"['61baad621e573e46cfe7bfbd4665bcf0c5d4a94d', 0.02840046157730486]","['97baabf5653c83988f0ccd448399a36b68c4f60e', 0.009660804267543092]","['c29748c9a2d534c330191dbc4473b28bc4f995f0', 0.02530207824121564]"
37,"['0ad6c25886eed9034ace71ae9d592abee995e578', 0.02074890920177324]","['2f1dc069f4ce7965da44919c6abbc3639b39ad1d', 0.012184166250108338]","['c3a5531dc31a9dc64d11d9729e57e8762deb3900', 0.005376706024585996]"
38,"['02ae4e71f36e90718d48b6e80aeb695d78f93b14', 0.06404987690623264]","['094872886cc92ce0bc16e458c5eb4f28ea4321b7', 0.03370664026754758]","['6f0b16b818f44eed432d790cc15b88e45c8e2912', 0.09399725680315023]"
39,"['52e0ab2e7dd01010d50f4d21be682fb85708a702', 0.039903055475601815]","['c22128ba1ea940e188a172758fe1e323ec0a2afb', 0.018782484477243774]","['dad697f52ef74a6fa35622fc5cb232a8689fc392', 0.00891023716957793]"
40,"['1d6e7fb5b918916f280ad7f4bc00aba9bcb52a33', 0.02683675801859574]","['54c7da2933753369f9a1e92504be3a9937f71a44', 0.00019844169568847505]","['b15f181c3cd359d31b2811eaffa8ffbab3325cb0', 0.02561498218545976]"
41,"['014659e0c10687b952a6d110476e0f87cc9543e4', 0.012975244476324914]","['aff5a7dee486604ce917295162ef8046d0365a95', 0.0007169508100125603]","['eee4faaaad901a54f9727fc7884aa431f1251609', 0.011723955300401429]"
42,"['65607e3973871aedd12799679c474a9990c40be3', 0.020078407893099073]","['8130d1a8ef5a8c13ba529b046cbc23197b207199', 0.07053228338186687]","['d640e4451633498d93d1f7bd0bb2556bb529180c', 0.07324893144924537]"
43,"['3276625beebc87ffd57c01fac332a1c1b7a743e4', 0.008760546566272348]","['cdfee46332ed5bf3c7521ca7d3621e7f8c4cadfc', 0.012182908183352903]","['ffeab0976980ea768d0dd7ec988f0a595746e755', 0.025891034667796922]"
44,"['5d2d1c55f5e84a3faa918d9998483006ae14ce9d', 0.03492246924696055]","['5fa1e37311aba08122f537b44dbcf6c96eaa623d', 0.004036795070985304]","['dc898f287f7037d7f3e86cfc4f39b18369400429', 0.009229107446912143]"
45,"['2c929edbaafd84070eac5577c3a965bd4d06bdf6', 0.0146857805050021]","['bc378826a427f04696a4319ee7bc389f7add9152', 0.0321557777706464]","['c44236ae938e4a347b0c0f45b01298a122201936', 0.2962449048585158]"
46,"['0a45310f1f35e64f5b80cf3c485b2a2d3f388a36', 0.1652919591879625]","['8f75a5d446ee422f27af1d1403e7c77dc8f6a362', 0.25044913800019775]","['a6b7b9a153c63c3f530fb5ad24d47f1af8fd7ad7', 0.2334883158372342]"
47,"['11eb0495d61ce01dcac4eea64ac1c7e99e134b47', 0.009767232272068266]","['89a37642a4d6d94cff562a1d5145caadf3cb3307', 0.020287398188636115]","['bc0e3cb005f7d390f265fd5dd77e29c3f809b4d8', 0.009835304799912249]"
48,"['4549b3273ba561a4e251e7b26dfb0e9de72b293e', 0.0174136956568874]","['9fc0f94a15fc9221eb1a7a365510cfc93de01fcf', 0.04520688676540123]","['e682e8355025c0877467b1960424c66f0487baf4', 0.011029163511182133]"
49,"['8cb38014f0ca76bb449bcf53bbefade21d7f3460', 0.15199435230456163]","['903d26c502a4a7bbc2e5019b94872702c1fd0841', 0.4597151773842104]","['e244f16389218b4ca5d27c158b4f555efe69dcd0', 0.4693720987795479]"
50,"['204b355034492b0f054c9e131c0060ea61c2657f', 0.0007312280936948575]","['ec6ab3f550f3b529f52ce54f1a6ee060c3425242', 0.04584241653240495]","['fd4ce131c5271a79d28af351d3d21276c46c80ce', 0.028684408326732296]"
51,"['79460daa80f4b17e15042168700d670503cb7c4b', 0.052699920750062364]","['baa6bd05ab5266de3af66e3e4a99f6b6a67acdbd', 0.056789667990093565]","['f8b382cd89df460b8b5e0d5a389f74f0395f3dfc', 0.02182178718303663]"
52,"['0376d5335bced59e6081839ea4e7ce1707e3bb86', 0.009895016326595722]","['3cf7aaffa20e10a56756a972c55ca0c84bfcafdc', 0.03032081718961422]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.030122697101146675]"
53,"['448cf40757e25d2568403a92647023b873adf0bb', 0.11045819982198161]","['b7a6c2d5b1b917519fa668ab8bfd3bcdc41d27fe', 0.09271214599567577]","['d15bc4c5f0ddfc3bd57d7e12fb80caf9279a3686', 0.1104581989269055]"
54,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
55,"['a18b1cfdf73330fc30a936cec5e98a03490b13d7', 0.0033397548074066597]","['bf3f349ce25fd5b5a2f1a0467a191b222c62c0b1', 0.01979848707463596]","['c0d5b19227fe37d6ac5ab5340f8dda9555199934', 0.011882848804225722]"
56,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0043094775829050575]","['a7776a340c8f400169c4d920ff050540871bae85', 0.0033387235593213597]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0004885289063218776]"
57,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0043094775829050575]","['a7776a340c8f400169c4d920ff050540871bae85', 0.0033387235593213597]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0004885289063218776]"
58,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0043094775829050575]","['a7776a340c8f400169c4d920ff050540871bae85', 0.0033387235593213597]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0004885289063218776]"
59,"['3888c793613493483301fb298345a2fa82da64f2', 0.016712293489701525]","['5169186a9ac481a0cf0508ded47a1d5c4b253ab5', 0.02187371744721758]","['be85a56b0eafe38e76bbd9b5bac4bd414117e08b', 0.004155203287505296]"
60,"['b652b6013908ac76ceff29cc8d7266b52a24a766', 0.01658414532293757]","['c19c2f4dbc3681fa8ef039fc8322b47ba5f73824', 0.01658414532293757]","['e49f84f7a39ea27d2d995f4a23f640dc0ae121c5', 0.002007382825710572]"
61,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
62,"['52cf661f68b98f78e10a45c5acb8c19a895f544f', 0.008702980139303979]","['6f42a5d03632ec7c3dcaf538ba110052f6d2a82a', 0.03046132843200073]","['7fec10e1a3cd8912ffcdce07ce0a61b556012641', 0.004449710029590407]"
63,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
64,"['6b354cd5fd19c71b7f40ce9ddb287d50e621ca43', 0.014531506411571252]","['c19c2f4dbc3681fa8ef039fc8322b47ba5f73824', 0.05010194996122263]","['e49f84f7a39ea27d2d995f4a23f640dc0ae121c5', 0.021553573198552445]"
65,"['709f4512feb233bd05400d91a4167f72d11fd896', 0.008332735876718638]","['be1436ba812a2fce8bd36f51c1e470bb034e1ab8', 0.04256365059043783]","['e4cfc11043a44874cc236318e659f05e143b10fe', 0.003676760236141017]"
66,"['0378ae5ff7f704bf57cb79c6a052d8f10311d277', 0.0007426684574745434]","['2dda127da0146d54a44691103072b94b7a286271', 0.028926872048791838]","['c0836b84e83ff549958f5a40e3f761b4bafa834f', 0.043039953666338615]"
